Point of Regard Right X [px],Point of Regard Left Y [px],Point of Regard Right Y [px],Point of Regard Left X [px],Gaze Vector Right Z,Pupil Diameter Right [mm],Gaze Vector Right Y,Gaze Vector Left Z,Pupil Diameter Left [mm],Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Right X,Group
617.2024,270.3984,309.0175,627.0248,-0.8779,3.9825,0.459,-0.8655,3.9867,0.1594,0.4749,0.1363,1
624.4221,265.7834,297.7775,627.6083,-0.8757,3.9456,0.4615,-0.864,3.9588,0.1578,0.4781,0.1417,1
623.4876,263.2962,292.8622,625.1339,-0.8767,3.9084,0.4623,-0.8655,3.9348,0.1495,0.478,0.133,1
628.437,262.6998,298.2969,625.412,-0.8799,3.8781,0.4557,-0.8669,3.912,0.1494,0.4756,0.1347,1
630.3976,263.0188,291.652,626.5393,-0.8781,3.8516,0.4601,-0.8682,3.8893,0.1517,0.4725,0.131,1
632.0064,262.5679,291.9236,624.7108,-0.8795,3.8241,0.4579,-0.8693,3.867,0.144,0.4729,0.1292,1
634.9606,263.6844,295.7579,624.1365,-0.883,3.8014,0.4514,-0.8706,3.8486,0.143,0.4707,0.1287,1
636.2555,264.064,292.0185,624.0368,-0.881,3.7842,0.4566,-0.8702,3.836,0.1448,0.4709,0.1244,1
638.1702,264.0251,291.2347,623.7434,-0.8813,3.7653,0.4562,-0.8699,3.8235,0.1424,0.4723,0.1231,1
637.1628,269.885,295.2531,621.6593,-0.8848,3.7479,0.4511,-0.8745,3.8109,0.1383,0.4649,0.1169,1
637.6723,273.4625,299.1264,620.5204,-0.8858,3.735,0.4484,-0.8751,3.8022,0.1381,0.4639,0.1197,1
637.6432,276.4896,302.33,619.9156,-0.8861,3.7196,0.4494,-0.8749,3.7871,0.136,0.4648,0.1138,1
636.3858,276.912,305.1945,620.0166,-0.8863,3.7084,0.4499,-0.8726,3.7748,0.1362,0.469,0.1097,1
636.6796,278.9597,307.0804,620.1248,-0.8854,3.6949,0.4518,-0.8736,3.7649,0.1294,0.4692,0.1093,1
634.7951,281.8379,310.2382,619.8453,-0.8877,3.6861,0.4496,-0.8754,3.7557,0.1253,0.4669,0.0992,1
634.4855,284.0841,312.478,618.9399,-0.8871,3.6736,0.4505,-0.8762,3.7484,0.1219,0.4662,0.1005,1
633.6364,286.0525,313.5083,620.5764,-0.8858,3.6617,0.4541,-0.8759,3.7436,0.1261,0.4658,0.0961,1
633.4598,288.7471,315.3101,620.8565,-0.8873,3.6515,0.4511,-0.8779,3.7335,0.119,0.4638,0.0962,1
633.4513,294.4163,318.4792,623.343,-0.8895,3.6428,0.4474,-0.8809,3.7275,0.1258,0.4562,0.0932,1
634.6756,298.7625,321.0953,624.3486,-0.8894,3.6315,0.447,-0.8818,3.7156,0.1201,0.456,0.0956,1
635.2266,299.6961,324.4887,626.5395,-0.8917,3.6233,0.4437,-0.8801,3.7057,0.1192,0.4596,0.0892,1
634.8584,301.9696,327.1431,628.7612,-0.892,3.6148,0.444,-0.8806,3.6965,0.1183,0.4589,0.0849,1
635.9021,304.6822,332.4754,631.9666,-0.8945,3.6049,0.4388,-0.8812,3.6892,0.1192,0.4576,0.0854,1
636.4057,307.0719,336.0,632.7096,-0.8949,3.5973,0.4389,-0.8818,3.6795,0.1137,0.4577,0.0809,1
636.4711,310.3601,338.6518,634.705,-0.8948,3.5878,0.4396,-0.8835,3.6737,0.112,0.4549,0.0777,1
637.5308,311.2696,340.1362,637.1535,-0.894,3.5806,0.4417,-0.8821,3.6689,0.1116,0.4576,0.0755,1
638.3831,314.2343,341.4466,638.1999,-0.8935,3.5739,0.4427,-0.8851,3.6629,0.1066,0.4531,0.075,1
638.7218,316.3613,344.4615,639.3112,-0.8957,3.5678,0.4392,-0.8856,3.6552,0.1057,0.4522,0.0701,1
638.6409,318.2634,345.859,640.2993,-0.8948,3.5627,0.4414,-0.8864,3.6519,0.1021,0.4515,0.0678,1
638.3752,319.2377,347.6571,640.2066,-0.8959,3.5509,0.4396,-0.8869,3.6395,0.1005,0.451,0.0649,1
637.8467,320.7271,348.6342,640.4147,-0.8947,3.5448,0.4419,-0.8884,3.6309,0.098,0.4485,0.0652,1
637.5666,321.4089,350.2854,640.8286,-0.8972,3.5402,0.4372,-0.8869,3.6258,0.0984,0.4513,0.0621,1
636.904,323.8855,352.2649,640.2684,-0.8989,3.5364,0.4345,-0.8904,3.6184,0.0932,0.4456,0.0571,1
635.781,324.9722,352.9845,640.0493,-0.8983,3.5316,0.4359,-0.8893,3.6135,0.0949,0.4474,0.0548,1
